Song Name,Artist,Uri
Saint Pablo,Kanye West,spotify:track:1o0kWPueYo94LIjPYOE5Nf
Good Night,Kanye West,spotify:track:3bhyo2ED5Yd4RLydQBDtD6
Runaway,Kanye West,spotify:track:50HCj9kEXIonBwRLXFWCr8
Famous,Kanye West,spotify:track:19a3JfW8BQwqHWUMbcqSx8
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",spotify:track:3EG9FJ0ToLfgnc1IG2Z1wz
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Kali Uchis,spotify:track:1otG6j1WHNvl9WgXLWkHTo
"GONE, GONE / THANK YOU","Tyler, The Creator",spotify:track:1hz7SRTGUNAtIQ46qiNv2p
She,"Tyler, The Creator",spotify:track:5WzfCu5fhgm7jv896EN1Md
Highlights,Kanye West,spotify:track:4qYLPta5HZ36idWiXtqh7B
Real Friends,Kanye West,spotify:track:66Q3fAmSX5eHamgbKa9alP
Gorgeous,Kanye West,spotify:track:23SZWX2IaDnxmhFsSLvkG2
Devil In A New Dress,Kanye West,spotify:track:1UGD3lW3tDmgZfAVDh6w7r
Omfg,Azulalp,spotify:track:2Fm3TS4EfbyDjK5h3WMVTj
Freak Show,Punkinloveee,spotify:track:2Rb6nYmuLEblpq4KIAjngL
Nothing's New,Rio Romeo,spotify:track:0EF1EE8zusg3Y869e56JFd
How To Never Stop Being Sad,dandelion hands,spotify:track:6ZLt6fyonW1xOGMBC9vJPJ
IFHY (feat. Pharrell),"Tyler, The Creator",spotify:track:0NjW4SKY3gbfl2orl1p8hr
NEW MAGIC WAND,"Tyler, The Creator",spotify:track:0fv2KH6hac06J86hBUTcSf
Pretend,alex_g_offline,spotify:track:0tGqk0HlYMQ16aj7yJwleF
LAST WISH,DIGITAL REY,spotify:track:7ImDK6cahdEFf5A70IaHOE
Song Name,Artist,Uri
Loft Music,The Weeknd,spotify:track:78aURwMzynDMan7DfSWwsI
Twenty Eight,The Weeknd,spotify:track:3dQEShIMs5TW8H3eUh11r7
Life Of The Party,The Weeknd,spotify:track:3DBumrwaikaisVDQdcM7jU
Thursday,The Weeknd,spotify:track:7Kd39JsnLyJLEXNeWUi3T9
Gone,The Weeknd,spotify:track:5e5h9GeNY6janbVi34tn9e
Valerie,The Weeknd,spotify:track:5JaqApg5415jtjdyjY3wa9
Angel,The Weeknd,spotify:track:0wzPHTgOtFIDhk2rD3Au4x
All I Know,The Weeknd,spotify:track:0NWqNXBJTpXbkI5rPWNy3p
Nothing Without You,The Weeknd,spotify:track:57qiTKh8bVX0VtfUNTQqhw
Attention,The Weeknd,spotify:track:6pDVjCUA3B1vg9waKutAsv
A Lonely Night,The Weeknd,spotify:track:0ifooM33X1iBxVYyOkSbXW
Love To Lay,The Weeknd,spotify:track:27BgDmciSjoxTG0almHTpZ
Party Monster,The Weeknd,spotify:track:4F7A0DXBrmUAkp32uenhZt
Reminder,The Weeknd,spotify:track:37F0uwRSrdzkBiuj0D5UHI
Song Name,Artist,Uri
Loft Music,The Weeknd,spotify:track:78aURwMzynDMan7DfSWwsI
Twenty Eight,The Weeknd,spotify:track:3dQEShIMs5TW8H3eUh11r7
Life Of The Party,The Weeknd,spotify:track:3DBumrwaikaisVDQdcM7jU
Thursday,The Weeknd,spotify:track:7Kd39JsnLyJLEXNeWUi3T9
Gone,The Weeknd,spotify:track:5e5h9GeNY6janbVi34tn9e
Valerie,The Weeknd,spotify:track:5JaqApg5415jtjdyjY3wa9
Angel,The Weeknd,spotify:track:0wzPHTgOtFIDhk2rD3Au4x
All I Know,The Weeknd,spotify:track:0NWqNXBJTpXbkI5rPWNy3p
Nothing Without You,The Weeknd,spotify:track:57qiTKh8bVX0VtfUNTQqhw
Attention,The Weeknd,spotify:track:6pDVjCUA3B1vg9waKutAsv
A Lonely Night,The Weeknd,spotify:track:0ifooM33X1iBxVYyOkSbXW
Love To Lay,The Weeknd,spotify:track:27BgDmciSjoxTG0almHTpZ
Party Monster,The Weeknd,spotify:track:4F7A0DXBrmUAkp32uenhZt
Reminder,The Weeknd,spotify:track:37F0uwRSrdzkBiuj0D5UHI
Song Name,Artist,Uri
Loft Music,The Weeknd,spotify:track:78aURwMzynDMan7DfSWwsI
Twenty Eight,The Weeknd,spotify:track:3dQEShIMs5TW8H3eUh11r7
Life Of The Party,The Weeknd,spotify:track:3DBumrwaikaisVDQdcM7jU
Thursday,The Weeknd,spotify:track:7Kd39JsnLyJLEXNeWUi3T9
Gone,The Weeknd,spotify:track:5e5h9GeNY6janbVi34tn9e
Valerie,The Weeknd,spotify:track:5JaqApg5415jtjdyjY3wa9
Angel,The Weeknd,spotify:track:0wzPHTgOtFIDhk2rD3Au4x
All I Know,The Weeknd,spotify:track:0NWqNXBJTpXbkI5rPWNy3p
Nothing Without You,The Weeknd,spotify:track:57qiTKh8bVX0VtfUNTQqhw
Attention,The Weeknd,spotify:track:6pDVjCUA3B1vg9waKutAsv
A Lonely Night,The Weeknd,spotify:track:0ifooM33X1iBxVYyOkSbXW
Love To Lay,The Weeknd,spotify:track:27BgDmciSjoxTG0almHTpZ
Party Monster,The Weeknd,spotify:track:4F7A0DXBrmUAkp32uenhZt
Reminder,The Weeknd,spotify:track:37F0uwRSrdzkBiuj0D5UHI
